Week,Cortisol.SUC,Cortisol.UN
0,24.29401981,21.26710963
1,23.60747833,17.25784
2,32.4380675,15.98864
3,26.34663175,16.7143875
4,21.787133,21.3198
5,24.28545975,12.53341
6,22.2334816,21.18368
7,37.21079733,22.57638
8,17.0786604,13.61142
9,23.30489625,11.93305
10,27.8681785,18.5265935
11,42.1208285,17.07895733
12,21.814156,NA
13,27.608413,15.51611
14,24.8579314,31.8191
15,34.1189085,7.66572
16,26.49492433,20.998575
17,35.7783368,9.09106
18,38.05793433,NA
19,28.01955225,12.6834
20,33.85452667,NA
21,16.779975,8.549
22,39.59136333,NA
23,32.61650425,20.208
24,33.754516,23.242886
25,29.51212,12.8403
26,26.207513,15.98736
27,24.306097,19.63994
28,21.28537475,18.63744
29,22.4209066,12.81917
30,23.7487565,24.5118055
31,22.26050367,6.87706
32,20.664934,25.73698
33,19.7045774,8.97747
34,17.25138,36.25288
35,24.75467025,13.50309
36,17.859825,12.55232
37,17.55008725,10.17814
38,16.61544,11.97762
39,15.6320855,8.22953
40,18.002151,13.52496
41,21.41207225,20.50826
42,14.40594,NA
43,25.7410615,9.55095
44,15.899931,36.17606
45,19.31584275,12.43093
46,22.2793902,17.98498
47,22.5792894,14.90302
48,27.159084,52.4494
49,21.0061088,15.68205
50,20.86066575,14.96746
51,30.34250667,21.55268567
52,20.722311,13.45528
53,16.9612045,15.57448
54,20.7806445,21.42416
55,17.89132575,28.852133
56,17.0318835,17.91574
57,18.62024625,11.73363
58,15.4103916,13.11858
59,28.833777,17.02643
60,30.0477995,28.13396
61,21.761397,15.44075
62,22.2230536,20.15144
63,19.970685,19.93868
64,15.5135866,18.1687
65,19.218222,20.49711
66,17.27861675,14.51814
67,31.942107,15.18488
68,13.40014467,29.4222
69,22.60871325,22.09532967
70,14.775044,18.63602
71,23.58738225,20.35025
72,23.5494388,17.45382
73,15.48260325,20.088801
74,23.835473,20.25368
75,31.51008,30.089
76,22.4385936,12.8427
77,16.90002225,23.6683
78,19.40443375,22.02536
79,20.558853,15.66108
80,17.13162933,29.04404
81,19.55317725,20.58705267
82,25.0566658,NA
83,18.58862925,27.46368
84,18.14464125,15.06096
85,17.1066465,14.37325
86,44.2436046,52.33823
87,31.5083385,20.54506
88,27.447896,24.17374
89,20.64525975,17.17886
90,31.51202933,16.41462
91,23.9093505,18.59180633
92,29.63740517,20.587199
93,26.513595,54.45762
94,27.3266208,41.56698633
95,48.6822366,38.97573333
,25.49561032,21.15609585
