Week,P4 Success,P4 Unsuccess
0,2.682,2.190
1,1.347,0.338
2,1.367,2.517
3,3.118,2.781
4,1.668,3.766
5,10.316,3.079
6,10.950,2.248
7,6.884,3.421
8,5.516,3.505
9,3.975,3.335
10,4.186,5.338
11,3.984,5.809
12,5.503,NA
13,6.185,3.554
14,10.096,4.100
15,9.738,6.068
16,8.176,6.448
17,11.627,6.602
18,10.447,NA
19,9.064,3.237
20,10.374,NA
21,9.669,3.120
22,9.513,NA
23,10.468,3.860
24,9.078,5.592
25,8.684,4.841
26,11.049,4.127
27,11.433,4.747
28,8.397,6.226
29,8.556,4.169
30,10.205,5.370
31,10.027,6.506
32,10.269,4.804
33,9.618,4.853
34,9.775,5.194
35,8.428,5.885
36,8.321,6.141
37,8.643,4.878
38,8.250,5.193
39,8.497,4.976
40,11.402,5.863
41,8.580,4.964
42,9.004,NA
43,8.878,4.242
44,8.075,4.076
45,7.287,3.464
46,6.618,3.337
47,7.818,3.671
48,9.750,1.483
49,8.690,1.532
50,10.048,1.091
51,7.074,3.459
52,6.338,1.164
53,7.566,1.688
54,7.594,2.816
55,7.575,3.279
56,6.509,2.136
57,6.088,3.507
58,5.785,2.830
59,7.870,2.960
60,5.949,2.457
61,5.408,2.647
62,4.916,2.200
63,4.927,2.254
64,5.088,2.168
65,4.447,2.650
66,4.810,2.177
67,4.114,3.123
68,4.529,2.508
69,4.881,2.478
70,4.758,2.856
71,4.138,2.138
72,3.831,2.152
73,3.640,2.140
74,4.067,2.672
75,3.546,1.989
76,4.205,1.854
77,3.615,2.793
78,3.463,2.899
79,3.391,2.136
80,3.735,1.894
81,3.761,2.648
82,4.910,NA
83,3.480,1.610
84,3.259,2.428
85,3.530,1.367
86,3.335,2.543
87,3.858,2.547
88,2.984,1.994
89,3.562,1.761
90,3.572,2.206
91,3.503,2.060
92,3.705,1.889
93,4.552,2.718
94,2.343,0.861
95,1.499,1.036
,1.223,0.631
,,
,,
,,
,,
,,
,,
,,
,,
